id,part_number,process_type,torque,rotational_speed,tool_wear,failure_type
60,PN0060,B,39.53,1480,30,Overstrain Failure
61,PN0061,B,39.05,1480,35,
62,PN0062,A,46.25,1550,35,
63,PN0063,a ,43.79,1450,30,
64,PN0064,B,38.54,1550,25,
65,PN0065,A,46.5,1500,35,
66,PN0066,B,43.54,1200,30,
67,PN0067,A,46.06,1520,20,
68,PN0068,a ,45.15,1450,45,Power Failure
69,PN0069,A,37.86,1200,35,
70,PN0070,TYPEB,39.2,1450,35,
71,PN0071,C,45.74,1600,40,
72,PN0072,A,45.05,1550,30,
73,PN0073,A,41.9,1480,40,
74,PN0074,a ,42.59,1520,30,
75,PN0075,C,48.39,1550,20,
76,PN0076,C,39.04,1200,30,
77,PN0077,C,44.74,1600,30,
78,PN0078,A,40.99,1600,35,
79,PN0079,B,40.91,1600,20,
80,PN0080,A,47.49,1200,20,
81,PN0081,a ,46.13,1200,25,
82,PN0082,C,46.07,1200,25,Tool Wear Failure
83,PN0083,B,48.53,1200,35,Overstrain Failure
84,PN0084,A,42.11,1600,25,
85,PN0085,B,45.41,1600,35,
86,PN0086,B,40.45,1450,30,
87,PN0087,C,43.62,1550,30,
88,PN0088,C,41.35,1520,40,
89,PN0089,a ,42.48,1480,30,
90,PN0090,B,44.98,1600,40,
91,PN0091,A,37.91,1480,30,
92,PN0092,C,52.46,1550,25,
93,PN0093,C,36.97,1550,95,
94,PN0094,C,35.93,1480,20,
95,PN0095,C,47.79,1600,20,
96,PN0096,B,45.96,1480,40,
97,PN0097,B,45.12,1450,20,Overstrain Failure
98,PN0098,B,45.14,1500,40,
99,PN0099,A,41.94,1600,30,
100,PN0100,A,37.51,1600,45,
101,PN0101,A,42.38,1520,35,
102,PN0102,C,38.61,1200,35,Overstrain Failure
103,PN0103,B,46.88,1500,45,
104,PN0104,B,41.26,1550,25,
105,PN0105, B,37.87,1600,95,
106,PN0106,A,40.39,1480,20,Overstrain Failure
107,PN0107,B,44.06,1500,30,Tool Wear Failure
108,PN0108,C,39.18,1520,25,
109,PN0109,A,37.89,1550,30,
110,PN0110,A,43.22,1200,20,
111,PN0111,A,43.22,1200,40,
112,PN0112,A,39.47,1520,40,
113,PN0113, B,39.64,1520,95,
114,PN0114,a ,43.16,1480,20,
115,PN0115,C,34.76,1600,35,
116,PN0116,a ,34.96,1200,30,
117,PN0117,a ,38.41,1550,25,
118,PN0118,A,40.93,1500,25,Tool Wear Failure
119,PN0119,a ,43.55,1550,30,
120,PN0120,B,49.38,1450,35,
121,PN0121,a ,46.29,1450,30,Power Failure
122,PN0122,a ,41.2,1520,30,
123,PN0123,B,41.9,1480,20,
124,PN0124,A,36.99,1450,20,
125,PN0125,A,41.91,1200,20,
126,PN0126,B,40.56,1550,95,Overstrain Failure
127,PN0127,a ,43.61,1550,20,
128,PN0128,a ,37.86,1520,20,
129,PN0129,A,44.6,1600,25,
130,PN0130,B,49.66,1600,40,
131,PN0131,B,41.46,1500,95,
132,PN0132,A,44.01,1520,40,Overstrain Failure
133,PN0133,A,45.45,1500,35,
134,PN0134,B,39.99,1600,30,Power Failure
135,PN0135, B,43.12,1520,20,
136,PN0136,B,42.06,1520,95,
137,PN0137,B,42.49,1520,40,
138,PN0138,C,38.13,1600,35,
139,PN0139,B,42.12,1500,40,Tool Wear Failure
140,PN0140,TYPEB,44.49,1500,35,Tool Wear Failure
141,PN0141,TYPEB,49.26,1520,35,
142,PN0142,A,46.8,1450,95,
143,PN0143,B,52.77,1480,45,
144,PN0144,B,38.16,1600,35,
145,PN0145,A,46.36,1480,35,
146,PN0146,A,42.92,1480,20,
147,PN0147,C,52.95,1500,35,
148,PN0148,B,37.96,1500,20,
149,PN0149,A,37.8,1450,30,
150,PN0150,A,39.0,1480,95,
151,PN0151, B,31.38,1480,30,
152,PN0152,A,39.37,1520,30,
153,PN0153,A,38.2,1500,25,
154,PN0154,B,42.75,1480,20,
155,PN0155,TYPEB,43.71,1550,35,
156,PN0156,A,51.38,1450,20,
157,PN0157,C,46.75,1550,20,
158,PN0158,C,39.12,1550,30,
159,PN0159,A,37.51,1600,40,
160,PN0160,C,44.46,1600,35,
161,PN0161,B,35.4,1450,20,Power Failure
162,PN0162,C,51.16,1550,30,
163,PN0163,C,47.9,1480,30,
164,PN0164,B,39.65,1500,35,
165,PN0165,A,33.43,1450,35,
166,PN0166,a ,48.77,1520,25,
167,PN0167,B,41.43,1550,30,
168,PN0168,A,48.19,1450,30,
169,PN0169,A,34.03,1200,40,
170,PN0170,C,39.0,1200,30,
171,PN0171,C,42.03,1600,30,
172,PN0172,A,42.23,1500,30,
173,PN0173,B,39.75,1480,30,
174,PN0174,A,45.11,1500,40,
175,PN0175,C,36.66,1500,30,
176,PN0176,A,41.29,1500,35,
177,PN0177,C,42.6,1500,35,Overstrain Failure
178,PN0178,B,44.57,1520,30,
179,PN0179, B,45.56,1520,30,
180,PN0180,A,36.38,1600,40,
181,PN0181,B,34.33,1450,30,
182,PN0182,A,48.39,1200,30,
183,PN0183, B,43.66,1500,95,
184,PN0184,a ,38.26,1600,20,
185,PN0185,A,49.76,1450,20,
186,PN0186,C,42.58,1200,25,
187,PN0187,a ,47.9,1550,45,
188,PN0188,C,42.34,1480,20,
189,PN0189,B,52.3,1520,20,
190,PN0190,A,50.78,1550,20,
191,PN0191,A,40.76,1200,20,
192,PN0192,a ,46.86,1550,20,
193,PN0193, B,45.23,1480,30,Overstrain Failure
194,PN0194,C,48.84,1600,30,
195,PN0195,B,37.18,1200,25,
196,PN0196,B,45.43,1550,25,
197,PN0197,C,47.29,1520,20,
198,PN0198,a ,33.21,1520,25,
199,PN0199,a ,36.08,1450,30,
200,PN0200,C,31.8,1550,35,
201,PN0201,C,40.65,1500,20,
202,PN0202,A,45.59,1550,30,
203,PN0203,A,49.51,1600,25,
204,PN0204,a ,42.37,1200,40,
205,PN0205,C,50.14,1200,35,
206,PN0206,A,35.1,1600,30,
207,PN0207,A,33.48,1550,25,
208,PN0208,C,41.72,1600,45,
209,PN0209,A,43.92,1480,20,
210,PN0210,A,41.84,1600,20,
211,PN0211,B,31.66,1520,25,
212,PN0212,C,41.55,1600,20,
213,PN0213,C,35.48,1200,95,
214,PN0214,A,45.35,1520,40,
215,PN0215,C,43.83,1200,25,
216,PN0216,A,37.3,1450,30,
217,PN0217,B,39.43,1500,95,
218,PN0218,C,36.7,1200,40,Power Failure
219,PN0219,C,41.69,1520,35,
220,PN0220,a ,46.78,1450,45,
221,PN0221,C,37.07,1200,95,
222,PN0222,C,44.52,1480,35,
223,PN0223,A,39.35,1600,20,
224,PN0224,B,38.04,1500,30,
225,PN0225,A,41.46,1200,40,Power Failure
226,PN0226,A,36.82,1450,25,
227,PN0227,TYPEB,39.23,1480,40,
228,PN0228,B,36.01,1550,20,
229,PN0229,a ,51.82,1450,20,
230,PN0230,C,42.18,1600,25,
231,PN0231,C,38.5,1450,20,
232,PN0232,B,43.07,1480,95,
233,PN0233,C,41.44,1450,40,Tool Wear Failure
234,PN0234,B,40.9,1480,40,
235,PN0235,A,45.07,1200,35,
236,PN0236,C,45.79,1480,25,
237,PN0237,A,39.35,1480,30,
238,PN0238,A,39.12,1500,30,
239,PN0239,C,40.62,1480,30,
240,PN0240,A,30.49,1480,25,
241,PN0241, B,34.42,1550,30,
242,PN0242,TYPEB,48.83,1200,30,
243,PN0243, B,50.22,1600,95,Power Failure
244,PN0244,B,40.75,1500,40,
245,PN0245,A,44.88,1550,30,
246,PN0246, B,43.56,1520,35,
247,PN0247,B,57.39,1200,35,Overstrain Failure
248,PN0248,TYPEB,47.6,1200,20,
249,PN0249,TYPEB,41.36,1520,40,
250,PN0250,a ,37.22,1600,40,
251,PN0251,A,33.97,1480,30,
252,PN0252,B,43.02,1550,25,
253,PN0253,a ,38.22,1450,25,
254,PN0254,B,34.89,1500,30,
255,PN0255,A,38.77,1450,20,
256,PN0256,C,36.59,1520,40,
257,PN0257, B,50.44,1200,20,
258,PN0258,C,46.41,1600,25,
259,PN0259,C,41.96,1200,45,
260,PN0260,A,49.4,1500,35,
261,PN0261,C,42.39,1200,25,
262,PN0262,TYPEB,37.69,1200,25,
263,PN0263,A,49.62,1500,20,Overstrain Failure
264,PN0264,B,44.69,1550,35,
265,PN0265,a ,36.81,1550,20,
266,PN0266,C,41.05,1500,30,
267,PN0267,C,37.62,1600,95,
268,PN0268,C,35.09,1520,20,
269,PN0269,B,46.63,1200,40,
270,PN0270,A,51.55,1600,95,
271,PN0271,a ,35.01,1200,20,
272,PN0272,a ,44.81,1520,40,Tool Wear Failure
273,PN0273,a ,38.75,1550,30,
274,PN0274, B,39.56,1600,45,
275,PN0275,B,39.04,1480,30,
276,PN0276,B,37.68,1480,35,
277,PN0277,C,42.24,1480,30,
278,PN0278,C,37.85,1550,40,
279,PN0279,C,43.35,1550,35,Overstrain Failure
280,PN0280,C,41.75,1520,30,
281,PN0281,a ,40.81,1200,40,
282,PN0282,B,37.46,1520,25,Overstrain Failure
283,PN0283,B,39.12,1520,20,
284,PN0284,A,45.78,1550,20,
285,PN0285,C,44.5,1480,25,
286,PN0286,A,37.11,1450,25,
287,PN0287,B,42.5,1200,45,Power Failure
288,PN0288,B,45.76,1550,20,
289,PN0289,A,33.65,1480,35,
290,PN0290,C,44.72,1600,20,
291,PN0291,A,38.69,1450,40,Tool Wear Failure
292,PN0292,A,44.85,1450,95,
293,PN0293,a ,38.18,1550,30,Tool Wear Failure
294,PN0294,B,32.98,1500,40,
295,PN0295,A,33.86,1200,20,
296,PN0296,B,42.24,1450,40,
297,PN0297,C,43.3,1550,25,
298,PN0298,A,37.48,1550,45,
299,PN0299,C,45.19,1480,20,
300,PN0300,A,33.69,1600,30,
